what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1447869593832
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1447869593864
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1447869593864
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1447869593864
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1447869593911
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1447869593911
os,sysinfo,,,"win32",1447869593942
arch,sysinfo,,,"x86",1447869593942
ws,sysinfo,,,"win32",1447869593942
locale,sysinfo,,,"en_US",1447869593942
processors,sysinfo,,,"4",1447869593942
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1447869593942
java.runtime.version,sysinfo,,,"1.8.0_45-b15",1447869593942
java.specification.name,sysinfo,,,"Java Platform API Specification",1447869593942
java.specification.vendor,sysinfo,,,"Oracle Corporation",1447869593942
java.specification.version,sysinfo,,,"1.8",1447869593942
java.vendor,sysinfo,,,"Oracle Corporation",1447869593942
java.version,sysinfo,,,"1.8.0_45",1447869593942
java.vm.info,sysinfo,,,"mixed mode",1447869593942
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1447869593942
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1447869593942
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1447869593942
java.vm.specification.version,sysinfo,,,"1.8",1447869593942
java.vm.vendor,sysinfo,,,"Oracle Corporation",1447869593942
java.vm.version,sysinfo,,,"25.45-b02",1447869593942
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1447869593942
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1447869593973
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1447869594004
