what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448558208073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448558209491
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1448558209503
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448558272052
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448558274048
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1448558297158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448558297920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448558299338
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1448558299351
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448558365545
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448558370062
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1448558388779
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1448558388821
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1448558406588
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1448558406709
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1448558408226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448558421756
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448558421843
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1448558423664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448558423695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448558424647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448558426425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448558428797
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1448558428813
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1448558451021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448558453502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448559223845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448559226827
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448560464033
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448560464080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448560678543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448560685532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448560687267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448560707964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448560712120
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448579770089
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1448579771399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448579772164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448579772758
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1448579772773
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1448579786719
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448579787437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448579825855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448579828068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448579828224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448579830189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448579837615
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448579837662
